,CMPSI_NM,CMPSI_SCTIN_NM,소재지전체주소,상세영업상태명,lat,lon,kakao_score,지역
2923,형원레져,일반야영장,전라남도 강진군 도암면 신기리 145,영업중,34.53,126.77,0.0,전라남도
2924,화야캠핑장,일반야영장,경기도 가평군 설악면 회곡리 24번지,폐업,37.68,127.47,5.0,경기도
2925,화야캠핑장,일반야영장,경기도 가평군 설악면 회곡리 24-2,영업중,37.68,127.47,5.0,경기도
2926,화야캠핑장,일반야영장,경기도 가평군 설악면 회곡리 32-1,영업중,37.68,127.47,5.0,경기도
2927,썬샤인캠프,"카라반,글램핑",경기도 가평군 설악면 회곡리 24번지,폐업,37.68,127.47,2.0,경기도
2928,썬샤인캠프,"카라반,글램핑",경기도 가평군 설악면 회곡리 24-2,영업중,37.68,127.47,2.0,경기도
2929,썬샤인캠프,"카라반,글램핑",경기도 가평군 설악면 회곡리 32-1,영업중,37.68,127.47,2.0,경기도
2930,힐링가평오토캠핑장,"자동차야영장,글램핑",경기도 가평군 상면 덕현리 159-10,영업중,37.76,127.4,1.0,경기도
2931,탑글램핑,일반야영장,강원도 홍천군 화촌면 군업리 345-2번지,영업중,37.75,128.03,1.9,강원도
2932,더포레스트 연지곤지점,"일반야영장,글램핑",경기도 광주시 곤지암읍 삼리 430,영업중,37.35,127.32,0,경기도
2933,청포대숲속야영장,일반야영장,충청남도 태안군 남면 양잠리 1230-3,폐업,36.64,126.3,0.0,충청남도
2934,청포대숲속야영장,일반야영장,충청남도 태안군 남면 양잠리 1230-3,폐업,36.64,126.3,0.0,충청남도
2935,청포대숲속야영장,일반야영장,충청남도 태안군 남면 양잠리 1230-3,영업중,36.64,126.3,0.0,충청남도
2936,청포대숲속야영장,일반야영장,충청남도 태안군 남면 양잠리 1230-3,영업중,36.64,126.3,0.0,충청남도
2937,청포대숲속야영장,일반야영장,충청남도 태안군 남면 양잠리 1230-58번지,폐업,36.64,126.3,0.0,충청남도
2938,청포대숲속야영장,일반야영장,"충청남도 태안군 남면 원청리 512-80번지 ,512-145,512-146",폐업,36.64,126.3,0.0,충청남도
2939,청포대숲속야영장,일반야영장,충청남도 태안군 남면 양잠리 1230-32번지,폐업,36.64,126.3,0.0,충청남도
2940,청포대숲속야영장,일반야영장,충청남도 태안군 남면 원청리 512-142,영업중,36.64,126.3,0.0,충청남도
2941,청포대숲속야영장,일반야영장,충청남도 태안군 남면 원청리 512-2,영업중,36.64,126.3,0.0,충청남도
2942,청포대숲속야영장,일반야영장,충청남도 태안군 남면 원청리 512-21,영업중,36.64,126.3,0.0,충청남도
2943,청포대숲속야영장,일반야영장,충청남도 태안군 남면 양잠리 1230-71,영업중,36.64,126.3,0.0,충청남도
2944,청포대숲속야영장,일반야영장,충청남도 태안군 남면 원청리 512-81,영업중,36.64,126.3,0.0,충청남도
2945,청포대숲속야영장,일반야영장,충청남도 태안군 남면 양잠리 1230-3번지,직권말소,36.64,126.3,0.0,충청남도
2946,청포대숲속야영장,일반야영장,충청남도 태안군 남면 원청리 512번지,직권말소,36.64,126.3,0.0,충청남도
2947,청포대숲속야영장,일반야영장,충청남도 태안군 남면 원청리 512-3번지,직권말소,36.64,126.3,0.0,충청남도
2948,청포대숲속야영장,일반야영장,충청남도 태안군 남면 원청리 512-3번지,직권말소,36.64,126.3,0.0,충청남도
2949,청포대숲속야영장,일반야영장,충청남도 태안군 남면 원청리 512-3번지,직권말소,36.64,126.3,0.0,충청남도
2950,청포대숲속야영장,일반야영장,충청남도 태안군 남면 원청리 512-3번지,직권말소,36.64,126.3,0.0,충청남도
2951,청포대숲속야영장,일반야영장,충청남도 태안군 남면 원청리 512번지 512-137,직권말소,36.64,126.3,0.0,충청남도
2952,청포대숲속야영장,일반야영장,충청남도 태안군 남면 원청리 512-88번지,직권말소,36.64,126.3,0.0,충청남도
2953,청포대숲속야영장,일반야영장,충청남도 태안군 남면 원청리 512-88번지,직권말소,36.64,126.3,0.0,충청남도
2954,청포대숲속야영장,일반야영장,충청남도 태안군 남면 원청리 512-88번지,직권말소,36.64,126.3,0.0,충청남도
2955,청포대숲속야영장,일반야영장,충청남도 태안군 남면 원청리 512-88번지,직권말소,36.64,126.3,0.0,충청남도
2956,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 양잠리 1230-3,폐업,36.64,126.3,1.0,충청남도
2957,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 양잠리 1230-3,폐업,36.64,126.3,1.0,충청남도
2958,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 양잠리 1230-3,영업중,36.64,126.3,1.0,충청남도
2959,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 양잠리 1230-3,영업중,36.64,126.3,1.0,충청남도
2960,청포대 휴 야영장,일반야영장,충청남도 태안군 남면 양잠리 1230-58번지,폐업,36.64,126.3,1.0,충청남도
